step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_5_x,agent_6_x,agent_7_x,agent_8_x,agent_9_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_5_y,agent_6_y,agent_7_y,agent_8_y,agent_9_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_5_vx,agent_6_vx,agent_7_vx,agent_8_vx,agent_9_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy,agent_5_vy,agent_6_vy,agent_7_vy,agent_8_vy,agent_9_vy
0,6.273272633733641,1.571555325643817,-0.10885627054975144,0.15861857309902466,2.746375120332682,1.3104318101339725,0.1277709481302001,0.08331612304553782,5.764078892624408,4.491308138558966,-0.007459830746283938,-0.06115489325415546,6.185764853372803,7.769355804070036,-0.08210688194770732,-0.060942904786248184,1.2037707263889346,7.749826809370482,0.042934082450190224,-0.0055166270191176064,5.690726326971653,6.896674310354799,-0.06684368898035932,-0.1272411538038188,2.130552216843712,2.3390254009405513,-0.056192857933737114,0.14317966821580377,4.501509862848413,8.368740660772897,-0.04058326568800197,-0.07032811282599577,4.459814375748233,7.8632122554416615,0.21612909015274973,-0.23833544634149342,1.591111779133583,6.581233906659672,-0.07452984260356622,0.005032344909891545
1,6.2678298202061535,1.5794862542987682,-0.20885627054975145,0.21265189424122133,2.7527636677391922,1.3145976162862494,0.18618354173333426,0.18331612304553782,5.763705901087094,4.488250393896259,-0.10745983074628394,-0.09150039276968891,6.181659509275418,7.766308658830724,-0.06818858495492855,-0.07970606400169847,1.2059174305114442,7.749550978019526,0.05952919423750941,-0.05333358902282549,5.687384142522635,6.890312252664608,-0.15659304906489302,-0.22724115380381882,2.127742573947025,2.3461843843513415,-0.0036434421069396275,0.17807488563447443,4.499480699564012,8.365224255131597,-0.10028022017675625,-0.12508566616500028,4.4706208302558705,7.851295483124587,0.2892069059238526,-0.33833544634149343,1.5873852870034046,6.581485523905166,-0.014998130071522765,-0.09496765509010846
2,6.257387006678666,1.5901188490108293,-0.30885627054975145,0.26535386219585694,2.762072844825859,1.3237634224385262,0.23973116846711418,0.2833161230455378,5.75833290954978,4.483675374257774,-0.20745983074628394,-0.12025413236510211,6.178250080027672,7.762323355630639,-0.05389165988702694,-0.10285930647053239,1.2088938902233197,7.746884298568385,0.08039738387040202,-0.10315356511421038,5.679554490069391,6.878950194974417,-0.24345549990298201,-0.3272411538038188,2.127560401841678,2.3550881286330654,0.03503113894393318,0.21995107653527704,4.494466688555175,8.358969971823347,-0.15755404319959865,-0.18029201267684108,4.485081175552063,7.8343787108075125,0.3538311200962159,-0.43833544634149346,1.5866353804998286,6.5767371411506605,0.04350765539371772,-0.19496765509010847
3,6.241944193151179,1.6033865421206221,-0.4088562705497515,0.316415724902995,2.7740594032492147,1.337929228590803,0.28790766866833944,0.38331612304553786,5.747959918012466,4.477662667639519,-0.3074598307462839,-0.14843424281966144,6.17555549703332,7.757180390307113,-0.04179607591171185,-0.12841036333240982,1.2129137594168398,7.741726620312674,0.10333230793646876,-0.1514449055845244,5.667381715074241,6.8625881372842255,-0.32646151830317427,-0.4272411538038188,2.129311958788875,2.366085682459829,0.05985823332002037,0.26619160297303646,4.486588986395195,8.349955371189505,-0.21155391421514735,-0.2359351897093118,4.502772731556874,7.812461938490438,0.39931194361306166,-0.5383354463414934,1.5888107632695145,6.566988758396155,0.10088589383327766,-0.29496765509010847
4,6.2215013796236915,1.619207328365772,-0.5088562705497515,0.36558468118274967,2.7884547866826317,1.35709503474308,0.33091573687226555,0.48331612304553784,5.732586926475152,4.470240955498536,-0.4074598307462839,-0.17668722293269093,6.173465693237735,7.750759872140493,-0.023905324549864923,-0.15472822798885819,1.2180803748136633,7.734154375033448,0.126423770190993,-0.19840819794483017,5.651058639159083,6.841226079594034,-0.4047645931399052,-0.5272411538038188,2.1323048704548757,2.379395262608481,0.07539900748660439,0.3106092405596301,4.476011290684438,8.33815861170404,-0.26454173412519677,-0.2942950332018197,4.522738328737527,7.785545166173364,0.4233207854256723,-0.6383354463414934,1.5938550579611783,6.55224037564165,0.1573246140595655,-0.39496765509010845
5,6.1960585660962035,1.6374865624249095,-0.6088562705497514,0.412862692027934,2.805000573526245,1.3812608408953568,0.3688404736104705,0.5833161230455378,5.712213934937838,4.461406594351901,-0.5074598307462839,-0.2048073323715871,6.1722704270102415,7.74302346074105,-0.0030170138790122612,-0.1802104981104326,1.2244015633232128,7.724233965136206,0.14954147786072794,-0.24411280412025282,5.630820409502087,6.814864021903843,-0.47753425289751933,-0.6272411538038187,2.1360748208292057,2.3949257246364626,0.07956574878325337,0.3540510010996386,4.462784203978178,8.32344386004395,-0.3162926742096542,-0.3531722271295846,4.543904368008811,7.753628393856289,0.43096928473568896,-0.7383354463414934,1.6017212886641565,6.532491992887144,0.2129198689576368,-0.4949676550901084
6,6.165615752568716,1.6581296970263062,-0.7088562705497514,0.45793702676857273,2.8234425972067685,1.4104266470476337,0.4033669558349349,0.6752203579317073,5.686840943400523,4.451166227733322,-0.6074598307462838,-0.23335505447279864,6.172119576316291,7.734012935835528,0.019801521687317695,-0.20532238794960497,1.2318786372162491,7.712028324930194,0.1726063683646113,-0.2885407860929472,5.606943696857211,6.783501964213652,-0.5454604511416141,-0.7272411538038187,2.1400531082683685,2.4126282746914445,0.07723062469293945,0.39955039742379633,4.4469695702676955,8.30578524868747,-0.36615704384046777,-0.41324309943640836,4.565452832245596,7.716711621539214,0.4152317347750757,-0.8331474222974565,1.6123672821120383,6.507743610132639,0.2679175038453321,-0.5949676550901084
7,6.130172939041228,1.6810265483647349,-0.8088562705497514,0.5010977931317167,2.8436109449985154,1.4441876649442191,0.43484684200913687,0.7558432753454188,5.656467951863209,4.439498475009682,-0.7074598307462838,-0.26230145416151934,6.173109652400657,7.723746816438048,0.042108291773606144,-0.23106322302021504,1.2405089556344797,7.697601285625547,0.19560094773940148,-0.33145090300388164,5.5796706743001305,6.747139906523461,-0.6107113485491459,-0.8272411538038187,2.1439146395030155,2.4326057945626345,0.07225288099279278,0.44810494902520626,4.428661718075672,8.28512309371565,-0.41406540360647426,-0.47347725866759427,4.5862144189843495,7.675054250424341,0.3834858598933313,-0.9148833551244524,1.625763157304305,6.477995227378134,0.3222270627137403,-0.6949676550901084
8,6.08973012551374,1.7060814380213207,-0.9088562705497514,0.5418757326897459,2.8653532870989724,1.48197982871149,0.4651263532224395,0.8241565401922206,5.621094960325895,4.426383402301606,-0.8074598307462838,-0.2916075201977437,6.175215066989337,7.712193655287037,0.06362244674425205,-0.25753304971851826,1.2502890030214497,7.681028740475353,0.21776798218659463,-0.3716348852569563,5.549135106872673,6.705777848833271,-0.6724608485853855,-0.9272411538038187,2.1475272835526553,2.455011042013895,0.06590474343528623,0.49718669178872554,4.407958447895348,8.26144923078227,-0.46005882110792384,-0.5333495402189553,4.605388711979016,7.629310082668119,0.34777526881552673,-0.9910097160177019,1.641874510439992,6.443246844623629,0.37615941358768745,-0.7949676550901084
9,6.044287311986253,1.733175224655808,-1.0088562705497515,0.5799498774107771,2.888609604760094,1.523187655721101,0.504709392506192,0.8779350097547511,5.5807219687885805,4.411803026291719,-0.9074598307462838,-0.3160808058727925,6.17839618932655,7.699317002801111,0.08537839093666157,-0.283367917076726,1.2611774021307796,7.662446996212505,0.2389294832961947,-0.40841935533828566,5.515512064443404,6.65941579114308,-0.7320829217589084,-1.0272411538038186,2.15082252072442,2.479870376603331,0.06142802445819253,0.541410125521712,4.384955506839952,8.234781753771323,-0.5037707933445571,-0.5922722065302194,4.622777475419793,7.579759596867234,0.3080854418501947,-1.0608102478818682,1.6606824811193766,6.403498461869123,0.4269386668320875,-0.8949676550901083
