step,agent_0_x,agent_1_x,agent_2_x,agent_3_x,agent_4_x,agent_0_y,agent_1_y,agent_2_y,agent_3_y,agent_4_y,agent_0_vx,agent_1_vx,agent_2_vx,agent_3_vx,agent_4_vx,agent_0_vy,agent_1_vy,agent_2_vy,agent_3_vy,agent_4_vy
0,5.392049482059672,6.722188178724309,-0.020005194334412182,-0.014589770295713013,4.507652631509056,8.132435629039026,0.23909882815030878,-0.13496754435226668,5.5379220296244265,8.39858004583681,-0.19221291293783838,-0.1184454110365146,7.232433282732296,7.964584564437804,0.04358550266982919,0.05635599853440359,1.9408457062626014,6.126038204375934,-0.006994013777286076,0.03996202570220318
1,5.391049222342952,6.7214586902095235,-0.06964561884347362,-0.0419767897478732,4.519607572916572,8.125687251821413,0.3120534124492411,-0.2349675443522667,5.528311383977535,8.392657775284984,-0.22814111485245206,-0.10636404925620406,7.234612557865787,7.967402364364524,-0.056414497330170815,0.03335955130889392,1.9404960055737372,6.128036305661045,0.09300598622271393,-0.05147415916293918
2,5.387566941400778,6.71935985072213,-0.11799501975397249,-0.0686426592879901,4.535210243539034,8.1139388746038,0.36761928890696655,-0.3349675443522667,5.516904328234912,8.387339572822174,-0.2482888834838943,-0.08934762937020857,7.231791832999278,7.969070341929969,-0.15641449733017082,0.018097137163757857,1.945146304884873,6.125462597702898,0.19300598622271392,-0.14072434447070853
3,5.381667190413079,6.71592771775773,-0.1649615715946002,-0.09453694011523439,4.553591207984382,8.097190497386187,0.4108982636695162,-0.4349675443522667,5.5044898840607175,8.382872191353664,-0.2617162097864982,-0.06825585499801903,7.223971108132769,7.969975198788157,-0.25641449733017085,0.008083804452268079,1.9547966041960085,6.118426380479362,0.2930059862227139,-0.22761458974787627
4,5.373419111833349,6.711200870751969,-0.21045897208982728,-0.1196122572735776,4.574136121167857,8.075442120168573,0.44868165480753114,-0.5349675443522667,5.491404073571393,8.379459398603764,-0.27619902426316323,-0.04372671358808468,7.2111503832662605,7.970379389010771,-0.35641449733017083,0.000949688319055314,1.9694469035071442,6.107045650991968,0.3930059862227139,-0.311980768031938
5,5.362896163228857,6.70522025788829,-0.25440653364368715,-0.14382434915267417,4.596570203908234,8.04869374295096,0.4860037583522144,-0.6088864344980008,5.4775941223582345,8.37727306292436,-0.29840159330216753,-0.01645532077294365,7.193329658399752,7.970426873426724,-0.4564144973301708,-0.0056022893803536235,1.9890972028182798,6.091446612590372,0.49300598622271385,-0.39366875538452856
6,5.350175836546673,6.698029040430656,-0.29672925872847594,-0.16713210809160936,4.620870391825845,8.01824942122606,0.5251016733312968,-0.6572456841500689,5.462674042693126,8.376450296885713,-0.33096115935254394,0.013695075282361458,7.1705089335332435,7.970146758957706,-0.5564144973301708,-0.013823689133221418,2.0137475021294153,6.071763174821145,0.5930059862227138,-0.4725345911332245
7,5.335339373610249,6.6896724350260754,-0.3373578993520358,-0.18949761218418948,4.64712547549241,7.985387137018556,0.5676187695280039,-0.6849473606616122,5.446125984725499,8.37713505064983,-0.37581534798651833,0.0464768598068499,7.142688208666735,7.969455574501045,-0.6564144973301708,-0.02593604211981701,2.043397801440551,6.0481364452644835,0.6930059862227138,-0.5484446090997417
8,5.318471478642647,6.680197554416866,-0.37622900081318544,-0.21088614840422606,4.67550641396881,7.951139768985475,0.6158029156886445,-0.6963532850421037,5.427335217326173,8.379458893640173,-0.43532306132102483,0.080754108946282,7.109867483800227,7.968158772395054,-0.7564144973301707,-0.044138205964200705,2.0780481007516864,6.020714214809496,0.7930059862227138,-0.6212755401392629
9,5.299660028601988,6.6696532469966545,-0.4132849299894263,-0.23126622718830125,4.706296559753242,7.91632210473337,0.6728488092855407,-0.6954057091354054,5.405569064260122,8.383496599087486,-0.5125978445532682,0.11409236549611362,7.072046758933719,7.965951862096844,-0.8564144973301707,-0.0706101120272995,2.1176984000628223,5.989650437802533,0.8930059862227138,-0.6909145863800467
